comment_id,text_raw,channel_name,source_type,language_detected,layer1_utility_label
UgzpKdLY6MDCw6YA9W14AaABAg,"බැරිද පෝලිමක් දාන්න එවන්න 
පින්සිද්ද වෙනවා අයියේ",Sudaa Creation,video_comment,Sinhala,VALID
UgzFzJ9q2o6JRWO_oE94AaABAg,👍😁🙏💙💦💞😍💓👌🙋‍♀️,Hari TV - Lahiru Mudalige,video_comment,Emoji_only,NOISE
LCC.EhwKGkNLNzlwcWpSdUpZREZVX0U1d01kQ3JnYnd3,Good Afternoon ❤🙋‍♂️ Ayubowan🙏 ❤🙋‍♂️ Wanakkam🙏 ❤🙋‍♂️:face-turquoise-covering-eyes::face-red-heart-shape::face-turquoise-covering-eyes::elbowcough::yougotthis::virtualhug::goodvibes::elbowbump::hands-yellow-heart-red::face-fuchsia-flower-shape::person-pink-swaying-hair::face-red-heart-shape::face-turquoise-covering-eyes::face-red-heart-shape:,Hiru News,live_chat,English,VALID
UgzbQGNiy4mUiNH8Btd4AaABAg.A_9ecz0lcomA_BfMjCzFsl,බුදු සරණයි. සතුටින්  ඉන්න. අතීතය  ගතවෙලා  ඉවරයි. වර්තමානයේ ජීවත්වෙන්න. පුශ්ණ  අඩුයි එතකොට. ආදරණීය  මවක් වෙන්න. ❤❤❤❤❤❤❤,Hari TV - Lahiru Mudalige,video_comment,Sinhala,VALID
UgxwN9cWPd8YyrG7rFV4AaABAg,Lassanata .iwara  una  .thanky,TV Derana,video_comment,Singlish,VALID
LCC.EhwKGkNQZVZuNmpadVpZREZTazdkZ1lkYllFME1R,:face-green-smiling::face-green-smiling::face-green-smiling::face-green-smiling::face-green-smiling:,Hiru News,live_chat,English,VALID
UgyccU83GiDGbWQwvj94AaABAg,අපි  ආන්ඩුව සමග ❤❤❤❤,Sirasa News First,video_comment,Sinhala,VALID
UgztjilJyTOe1-yTDiR4AaABAg.AZmL4sVc1LGAZpJ-Wk1UUs,Uba deepanko😂,Ada Derana,video_comment,English,VALID
LCC.EhwKGkNJVzVrTS0xdVpZREZhTEx3Z1FkanFJVmJ3,පාර වැරදිලා එන අයට හරි පාර පෙන්නන්න ඔන,Sirasa News First,live_chat,Sinhala,VALID
Ugwnmyt5E60aDfc4cmt4AaABAg,මම නම් කියන්නෙ පෙරොට්ටො ජවිපෙන් අයින් උනෙ ජවිපෙ පෙර වාසනාවක් හරි මොකක් හරි එකකට..😹,Sirasa News First,video_comment,Sinhala,VALID
UgwD3yE3-ONxFsA2EaN4AaABAg,ලොව. සෑමදේකම. බෙදීමක්. ගැටුමක්. එකමුතුවක්. තියෙනව. එය. සාමාන්‍ය යි. නීතිවේදීන්. අතරත්. එසේවිය. හැකියි.. මානව. සමාජය තුළ. මෙම. මූලධර්මය න්. වඩා. යහපත්. අනාගතයක්. සඳහා. විය. යුතුයි. පසුගිය අතීත. දේශපාලනය. තුල. සෑම. දෙයක්ම. රිනාත්මක. ගමනක්. ගියේ. එය. නැවැත්විය. යුතුයි. නීතිය. අවබාවිතාව. නිසා. නඩු. ලක්ෂයකට. වඩා. ගොඩගැහිල. මේ. නඩුවලට. පැටලුන. පුරවැසියන්ට. ඉක්මනින්. යුත්තිය. ඉටුවිය. යුතුයි. මෙයට. විරුද්ධවෙන. නීතිවේදීන්. සබ්බ. දේශපාලකයන් පටු. පරමාර්ථ. ඇතිවයි. විරුද්ධ. වන්නෙ. දූෂිත. නීතිවේදීන්. පුරවැසියන්ගේ. දුර්වලතා. තමවාසියට. ගන්නව. පොලිසියේ. දූෂිත. නිළධාරින්. හා. දේශපාලකයො ත්. මේතත්වය. වාසියට. අරගෙන. තියෙනව. ජනතාව. මෙය. තේරුම්ගත යුතුය,Sirasa News First,video_comment,Sinhala,VALID
Ugw-c4gP3yKKOJz0_kB4AaABAg.A_eonZ9A_R-A_f4N6kuw-u,❤,Truth with Chamuditha,video_comment,Emoji_only,NOISE
UgyOJavRHI2yJWfa7Nt4AaABAg,කවුරුත් දුන්නත් නොදුන්නත් අපි මාලිමාවට දෙනවා. මාලිමාව ඇරෙන්න මේ ලංකාව හදන්න වෙන පක්ෂයක් නෑ වෙන ආණ්ඩුවක් නෑ නෑ. හොරුන්ට ආයෙත් දෙන්නේ නෑ,Sudaa Creation,video_comment,Sinhala,VALID
